name,author,narrator,time,releasedate,language,stars,price,ratings
Into the Wild,DoreenCronin,"AdamGrupper,MichelleO.Medlin",39,2016-05-31,English,0,82,0
#4 The Kung Fu Puzzle,MelindaThielbar,BookBuddyDigitalMedia,20,2017-04-24,English,0,164,0
Bailey School Kids: Zombies Don't Play Soccer,"MarshaThorntonJones,DebraS.Dadey",VinniePenna,41,2011-03-25,English,0,305,0
Lucie et la légende des lingots d'or [Lucie and the Legend of the Gold Bullion],NicholasAumais,SophieCadieux,108,2019-11-20,french,0,337,0
The Spy Catchers of Maple Hill,MeganFrazerBlakemore,MeredithOrlow,489,2014-06-16,English,0,721,0
Something Secret,GwynethRees,SophieAldred,174,2009-10-15,English,0,349,0
Goth Girl and the Wuthering Fright,ChrisRiddell,LucyBrown,127,2016-02-18,English,0,201,0
Peril in Paris,KatherineWoodfine,JessicaPreddy,403,2019-04-23,English,0,645,0
The Boxcar Children,GertrudeChandlerWarner,AimeeLilly,107,2018-10-07,English,4.5,305,2
Buried Secrets,CarlyAnneWest,OliverWyman,365,2019-07-30,English,1,586,1
Waking Nightmare,CarlyAnneWest,OliverWyman,328,2018-12-26,English,4,492,1
The Mystery of the Secret Message,GertrudeChandlerWarner,AimeeLilly,111,2014-12-28,English,0,305,0
The Mystery of the Traveling Tomatoes,GertrudeChandlerWarner,AimeeLilly,101,2013-12-29,English,5,305,1
The Cradle of All Worlds,JeremyLachlan,WendyBos,569,2018-09-08,English,0,797,0
The Clue of the Linoleum Lederhosen,M.T.Anderson,MarcCashman,229,2006-05-05,English,0,754,0
The Kitty Cheater,JohnR.Erickson,JohnR.Erickson,73,2008-08-21,English,0,305,0
Mysteriet om det skjulte hus,EnidBlyton,MikkelHansen,249,2020-03-18,danish,0,233,0
Bad Blood,CarlyAnneWest,OliverWyman,392,2019-12-26,English,0,492,0
Il signore dei bonsai,ManuelVázquezMontalbán,RobertoFedele,76,2019-05-06,italian,0,113,0
Clem the Detective Dog,JakeWarner,uncredited,56,2008-08-21,English,0,304,0
The Mystery of the Merry Magician,ElleryQueenJr.,TraberBurns,268,2015-09-25,English,0,585,0
Graven Images,PaulFleischman,"PaulMichael,SusanDenaker,LincolnHoppe",125,2006-01-01,English,0,553,0
Mobs in the Mine,WinterMorgan,NicolZanzarella,116,2016-06-29,English,4.5,233,3
Confessions,JamesPatterson,LaurenFortgang,292,2014-10-23,English,0,615,0
A to Z Mysteries: The Panda Puzzle,RonRoy,DavidPittu,60,2010-12-14,English,0,402,0
The Further Adventures of Hank the Cowdog,JohnR.Erickson,JohnR.Erickson,157,2008-02-05,English,0,469,0
The Disappearing TV Star,EmilyRodda,RebeccaMacauley,164,2006-10-08,English,0,568,0
Case of the Missing Moonstone,JordanStratford,NicolaBarber,212,2015-06-01,English,0,585,0
Deep and Dark and Dangerous,MaryDowningHahn,RachelDulude,355,2013-01-05,English,5,609,1
The Cut Throat Cafe,NickiThornton,RussellBentley,477,2020-02-04,English,0,569,0
The Valley of Lost Secrets,LesleyParr,IestynArwel,296,2021-01-01,English,0,266,0
The Secret of Bigfoot Valley,GertrudeChandlerWarner,AimeeLilly,104,2021-01-03,English,0,234,0
The Poison Plot,AnnabelleSami,ZeniaStarr,229,2021-01-02,English,0,664,0
Spy Penguins,MarekJagucki,AdamPaul,157,2018-11-13,English,0,74,0
Born at Midnight,C.C.Hunter,KatieSchorr,686,2012-07-12,English,0,181,0
The Way of the Warrior,ChrisBradford,JoeJameson,491,2017-05-16,English,3,569,2
Three Black Swans,CarolineBCooney,ErinMallon,454,2010-10-12,English,0,668,0
Hello Neighbor: Missing Pieces,CarlyAnneWest,OliverWyman,317,2018-11-09,English,5,492,2
The Mystery in San Francisco,GertrudeChandlerWarner,TimGregory,113,2014-12-28,English,0,305,0
The Clue at Black Creek Farm,CarolynKeene,JorjeanaMarie,186,2015-12-05,English,5,305,4
Alex Rider: Secret Weapon,AnthonyHorowitz,RupertDegas,466,2019-05-23,English,5,645,5
Mike's Mystery,GertrudeChandlerWarner,TimGregory,97,2012-01-01,English,4,305,1
City of Spies,NinaBerry,ElizabethEvans,812,2016-05-31,English,0,836,0
Sabotage at Willow Woods,CarolynKeene,JorjeanaMarie,182,2015-10-13,English,5,305,6
Gingerbread Man,LeeStrauss,"RogerWayne,RebaBuhr",401,2017-07-11,English,0,820,0
A Treacherous Tide,FranklinW.Dixon,TimGregory,237,2020-07-14,English,5,305,6
Bad Dad,DavidWalliams,"DavidWalliams,PeterSerafinowicz,NitinGanatra,",318,2019-03-19,English,5,1181,3
Il fantasma del metrò,GeronimoStilton,GeronimoStilton,41,2018-01-31,italian,0,190,0
S.O.S.,EnidBlyton,SonnyLahey,92,2019-11-15,danish,0,233,0
Kidnap on the California Comet,"M.G.Leonard,SamSedgman",JotDavies,408,2020-03-09,English,0,323,0
